CD_DIST,NM_DIST,M >= 70 ANOS,F >= 70 ANOS,AREA_KM2,POP_TOTAL
150745805,São Geraldo do Araguaia,61,0,"3168,3860357",24255
150746605,São João da Ponta,15,0,"195,9176367",4430
150747405,São João de Pirabas,104,0,"446,8337188",17404
150747410,Japerica,4,0,"221,2240412",3285
150750805,São João do Araguaia,32,5,"548,0743585",10231
150750810,Apinagés,5,0,"731,8142763",3433
150760705,São Miguel do Guamá,123,0,"283,5856661",38198
150760710,Caju,19,0,"391,8831037",7435
150760715,Urucuri,36,0,"359,0176296",6633
150760720,Urucuriteua,0,0,"60,0782328",628
150770605,São Sebastião da Boa Vista,62,0,"1632,2512880",25643
150775505,Sapucaia,6,0,"1298,1899921",5847
150780505,Senador José Porfírio,34,0,"14419,9172051",22576
150790405,Soure,102,0,"2857,3493746",24204
150795305,Tailândia,86,0,"3551,3358117",62959
150795310,Palmares,0,0,"879,1414533",9534
150796105,Terra Alta,52,0,"204,9703829",10400
150797905,Terra Santa,69,0,"1895,8835205",18782
150800105,Tomé-Açu,141,0,"5145,3608075",67585
150803505,Tracuateua,119,0,"868,0245755",28595
150805005,Trairão,23,0,"11991,0849572",15242
150808405,Tucumã,57,0,"2512,5935615",39550
150810005,Tucuruí,267,0,"2084,2867788",91306
150812605,Ulianópolis,13,0,"5088,4682858",37972
150815905,Uruará,79,0,"9549,1704682",38086
150815910,Alvorada,6,0,"1242,2295636",5472
150820905,Vigia,162,0,"161,1815948",40694
150820915,Porto Salvo,26,0,"240,4069980",10138
150830805,Viseu,74,0,"722,5388113",20685
150830815,Fernandes Belo,55,0,"349,5763598",10494
150830820,São José do Gurupi,5,0,"804,0170814",2587
150830825,São José do Piriá,62,0,"3096,8034089",24926
150835705,Vitória do Xingu,42,0,"3089,5366742",15607
150840705,Xinguara,158,0,"3779,3481203",52893
160005505,Serra do Navio,4,0,"7669,8834825",3775
160005510,Cachaço,0,0,"43,1626575",898
160010505,Amapá,26,0,"4142,1195003",7454
160010515,Sucuriju,0,0,"4312,7267981",489
160015405,Pedra Branca do Amapari,16,0,"9622,2902635",12847
160020405,Calçoene,7,0,"5437,9624331",7324
160020410,Cunani,0,0,"3086,6701123",917
160020415,Lourenço,3,0,"5592,6649079",2371
160021205,Cutias,10,0,"2179,1142345",4461
